"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"Q10931309","Q10931309","1E3124","General",TRUE
"Q1115352","Q1115352","98FF98","General",TRUE
"Q11273328","Q11273328","735340","General",TRUE
"Q11275076","Q11275076","767676","General",TRUE
"Q11277446","Q11277446","35271D","General",TRUE
"Q11277447","Q11277447","561E21","General",TRUE
"Q11277448","Q11277448","413027","General",TRUE
"Q11299443","Q11299443","ECE0D1","General",TRUE
"Q11299444","Q11299444","D6BC96","General",TRUE
"Q11299445","Q11299445","E0C37B","General",TRUE
"Q11299448","Q11299448","E2A665","General",TRUE
"Q11299450","Q11299450","CFAC84","General",TRUE
"Q11521543","Q11521543","E03625","General",TRUE
"Q11521544","Q11521544","B53D27","General",TRUE
"Q11521545","Q11521545","CA4F3C","General",TRUE
"Q11538290","Q11538290","8A604F","General",TRUE
"Q11559789","Q11559789","546C55","General",TRUE
"Q11567021","Q11567021","43625B","General",TRUE
"Q11567022","Q11567022","AAAAAA","General",TRUE
"Q11567023","Q11567023","C5C5C5","General",TRUE
"Q11579208","Q11579208","E7E7E8","General",TRUE
"Q115959703","Q115959703","007B39","General",TRUE
"Q11607727","Q11607727","246029","General",TRUE
"Q11607728","Q11607728","006157","General",TRUE
"Q11607730","Q11607730","354F33","General",TRUE
"Q11625224","Q11625224","973C3F","General",TRUE
"Q11635154","Q11635154","C32829","General",TRUE
"Q11635155","Q11635155","DD3355","General",TRUE
"Q11635156","Q11635156","88474B","General",TRUE
"Q11635157","Q11635157","B2152B","General",TRUE
"Q11635158","Q11635158","852B32","General",TRUE
"Q11635160","Q11635160","7A453D","General",TRUE
"Q11635162","Q11635162","563533","General",TRUE
"Q11660960","Q11660960","234059","General",TRUE
"Q11660961","Q11660961","003F6C","General",TRUE
"Q11660962","Q11660962","00859E","General",TRUE
"Q11660964","Q11660964","2A3444","General",TRUE
"Q11660965","Q11660965","324C51","General",TRUE
"Q11662688","Q11662688","009786","General",TRUE
"Q11662689","Q11662689","003835","General",TRUE
"Q11677708","Q11677708","E3B144","General",TRUE
"Q11677709","Q11677709","988054","General",TRUE
"Q11677710","Q11677710","CA6A1F","General",TRUE
"Q11677908","Q11677908","2A2A2A","General",TRUE
"Q117286085","Q117286085","004F8A","General",TRUE
"Q117286092","Q117286092","00ACD1","General",TRUE
"Q121347242","Q121347242","E31836","General",TRUE
"Q12901869","Q12901869","FF2400","General",TRUE
"Q18657380","Q18657380","C9780C","General",TRUE
"Q18657831","Q18657831","D3CBAF","General",TRUE
"Q18658385","Q18658385","B8DDC8","General",TRUE
"Q18659392","Q18659392","C7EDCC","General",TRUE
"Q20046295","Q20046295","90D7EC","General",TRUE
"Q24836976","Q24836976","625B57","General",TRUE
"Q3556227","Q3556227","A5D152","General",TRUE
"Q3907669","Q3907669","D1E189","General",TRUE
"Q3984546","Q3984546","160F0B","General",TRUE
"Q56324873","Q56324873","3B4B87","General",TRUE
"Q65239920","Q65239920","FFDC00","General",TRUE
"Q87647352","Q87647352","94A8B0","General",TRUE
"Q97342238","Q97342238","F7E19E","General",TRUE
"Q97376472","Q97376472","316745","General",TRUE
"#FFFFFE","Q105883127","FFFFFE","General",TRUE
"Absolute Zero","Q125706334","0048BA","General",TRUE
"Air Force blue","Q1770362","5D8AA8","General",TRUE
"American beauty","Q131398740","A73340","General",TRUE
"Ayanami Blue","Q91417704","6DABE4","General",TRUE
